module,GO_BP_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway,9_Level_Pathway,10_Level_Pathway,11_Level_Pathway
M1_humanbase_163,GO:0006735,biological_process,cellular process,metabolic process,"primary metabolic process, purine-containing compound metabolic process, small molecule metabolic process, pyridine-containing compound metabolic process, phosphorus metabolic process","nucleobase-containing compound metabolic process, phosphate-containing compound metabolic process, pyridine nucleotide metabolic process, organophosphate metabolic process, nucleobase-containing small molecule metabolic process, purine nucleotide metabolic process","nicotinamide nucleotide metabolic process, NAD metabolic process, nucleoside phosphate metabolic process, NADH metabolic process",nucleotide metabolic process,,,,,
M1_humanbase_167,GO:0007162,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, negative regulation of biological process","negative regulation of cellular process, regulation of cell adhesion",,,,,,,
M1_humanbase_178,GO:0045040,biological_process,"localization, cellular process","macromolecule localization, cellular component organization or biogenesis, cellular localization, establishment of localization","establishment of protein localization, intracellular transport, cellular macromolecule localization, transport, localization within membrane, cellular component organization, establishment of localization in cell","establishment of protein localization to mitochondrial membrane, intracellular protein transport, membrane organization, nitrogen compound transport, protein transport, establishment of protein localization to organelle, mitochondrial transport, establishment of protein localization to membrane, organelle organization, protein localization to membrane, protein localization","protein localization to organelle, establishment of protein localization to mitochondrion, mitochondrion organization, mitochondrial membrane organization","outer mitochondrial membrane organization, protein localization to mitochondrion",,,,,
M1_humanbase_182,GO:0071103,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,chromosome organization,,,,,,
M1_humanbase_190,GO:0000070,biological_process,cellular process,"cell cycle process, cellular component organization or biogenesis","cellular component organization, mitotic cell cycle process, chromosome segregation","organelle organization, nuclear chromosome segregation","chromosome organization, sister chromatid segregation",,,,,,
M1_humanbase_191,GO:0032211,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, negative regulation of biological process","regulation of cellular component organization, negative regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, negative regulation of metabolic process, regulation of macromolecule metabolic process, regulation of organelle organization, regulation of biosynthetic process, negative regulation of cellular component organization","negative regulation of biosynthetic process, regulation of DNA metabolic process, negative regulation of nucleobase-containing compound metabolic process, regulation of nucleobase-containing compound metabolic process, negative regulation of macromolecule metabolic process, regulation of chromosome organization, negative regulation of organelle organization, regulation of macromolecule biosynthetic process","regulation of telomere maintenance, negative regulation of chromosome organization, regulation of DNA biosynthetic process, negative regulation of macromolecule biosynthetic process, negative regulation of DNA metabolic process","regulation of telomere maintenance via telomere lengthening, negative regulation of telomere maintenance, negative regulation of DNA biosynthetic process, regulation of telomere maintenance via telomerase",negative regulation of telomere maintenance via telomere lengthening,,
M1_humanbase_212,GO:0032042,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process",DNA metabolic process,,,,,,
M1_humanbase_230,GO:1901739,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, regulation of developmental process","regulation of cellular component organization, regulation of syncytium formation by plasma membrane fusion",,,,,,,
M1_humanbase_232,GO:0006635,biological_process,cellular process,metabolic process,"primary metabolic process, small molecule metabolic process, catabolic process","small molecule catabolic process, lipid catabolic process, cellular catabolic process, organic acid metabolic process, lipid metabolic process","organic acid catabolic process, fatty acid metabolic process, lipid modification, oxoacid metabolic process, fatty acid catabolic process","lipid oxidation, carboxylic acid metabolic process, fatty acid oxidation, carboxylic acid catabolic process","monocarboxylic acid metabolic process, monocarboxylic acid catabolic process",,,,
M1_humanbase_233,GO:0031860,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process",DNA metabolic process,DNA strand elongation,,,,,
