module,REAC_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway
M1_string_438,R-HSA-975871,Immune System,Innate Immune System,Toll-like Receptor Cascades,Toll Like Receptor 10 (TLR10) Cascade,MyD88 cascade initiated on plasma membrane,,,,
M1_string_441,R-HSA-446205,Metabolism of proteins,Post-translational protein modification,Asparagine N-linked glycosylation,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",Synthesis of substrates in N-glycan biosythesis,Synthesis of GDP-mannose,,,
M1_string_444,R-HSA-5661231,Cellular responses to stimuli,Response to metal ions,Metallothioneins bind metals,,,,,,
M1_string_445,R-HSA-1461957,Immune System,Innate Immune System,Antimicrobial peptides,Defensins,Beta defensins,,,,
M1_string_447,R-HSA-5358493,Metabolism of proteins,Post-translational protein modification,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",Synthesis of diphthamide-EEF2,,,,,
M1_string_448,R-HSA-163680,Metabolism,Integration of energy metabolism,AMPK inhibits chREBP transcriptional activation activity,,,,,,
M1_string_451,R-HSA-9733458,Disease,Infectious disease,Viral Infection Pathways,SARS-CoV Infections,SARS-CoV-2 Infection,Late SARS-CoV-2 Infection Events,Induction of Cell-Cell Fusion,,
M1_string_459,R-HSA-388841,Immune System,Adaptive Immune System,Regulation of T cell activation by CD28 family,,,,,,
M1_string_462,R-HSA-8953750,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional Regulation by E2F6,,,,,
M1_string_463,R-HSA-72165,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Minor Pathway,,,,,
M1_string_464,R-HSA-380108,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Chemokine receptors bind chemokines,,,
M1_string_465,R-HSA-9707564,Cellular responses to stimuli,Cellular responses to stress,Cellular response to chemical stress,Cytoprotection by HMOX1,,,,,
M1_string_468,R-HSA-427975,Transport of small molecules,SLC-mediated transmembrane transport,Transport of inorganic cations/anions and amino acids/oligopeptides,Proton/oligopeptide cotransporters,,,,,
M1_string_469,R-HSA-5689877,Metabolism of proteins,Post-translational protein modification,Deubiquitination,Josephin domain DUBs,,,,,
M1_string_473,R-HSA-442380,Transport of small molecules,SLC-mediated transmembrane transport,"Transport of bile salts and organic acids, metal ions and amine compounds",Metal ion SLC transporters,Zinc transporters,Zinc influx into cells by the SLC39 gene family,,,
M1_string_475,R-HSA-2514859,Sensory Perception,Visual phototransduction,The phototransduction cascade,"Inactivation, recovery and regulation of the phototransduction cascade",,,,,
M1_string_478,R-HSA-1369062,Transport of small molecules,ABC-family proteins mediated transport,ABC transporters in lipid homeostasis,,,,,,
M1_string_480,R-HSA-5083627,Disease,Diseases of metabolism,Diseases of glycosylation,Diseases associated with O-glycosylation of proteins,Defective LARGE causes MDDGA6 and MDDGB6,,,,
M1_string_485,R-HSA-380108,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Chemokine receptors bind chemokines,,,
M1_string_488,R-HSA-389397,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Orexin and neuropeptides FF and QRFP bind to their respective receptors,,,
M1_string_490,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
M1_string_492,R-HSA-8939243,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional regulation by RUNX1,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,,,,
M1_string_493,R-HSA-5339700,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Signaling by WNT in cancer,Signaling by TCF7L2 mutants,,,,,
M1_string_494,R-HSA-171319,Cell Cycle,Chromosome Maintenance,Telomere Maintenance,Extension of Telomeres,Telomere Extension By Telomerase,,,,
M1_string_495,R-HSA-9026527,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by NTRKs,Signaling by NTRK2 (TRKB),Activated NTRK2 signals through PLCG1,,,,
M1_string_497,R-HSA-171319,Cell Cycle,Chromosome Maintenance,Telomere Maintenance,Extension of Telomeres,Telomere Extension By Telomerase,,,,
M1_string_499,R-HSA-211897,Metabolism,Biological oxidations,Phase I - Functionalization of compounds,Cytochrome P450 - arranged by substrate type,,,,,
M1_string_500,R-HSA-420499,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class C/3 (Metabotropic glutamate/pheromone receptors),,,,,
M1_string_505,R-HSA-380108,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Chemokine receptors bind chemokines,,,
M1_string_510,R-HSA-9031628,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by NTRKs,Signaling by NTRK1 (TRKA),Nuclear Events (kinase and transcription factor activation),NGF-stimulated transcription,,,
M1_string_525,R-HSA-3214847,Chromatin organization,Chromatin modifying enzymes,HATs acetylate histones,,,,,,
M1_string_527,R-HSA-419812,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class B/2 (Secretin family receptors),Calcitonin-like ligand receptors,,,,
M1_string_529,R-HSA-8949664,Transport of small molecules,Mitochondrial calcium ion transport,Processing of SMDT1,,,,,,
M1_string_530,R-HSA-111932,Signal Transduction,Intracellular signaling by second messengers,DAG and IP3 signaling,CaM pathway,Calmodulin induced events,CaMK IV-mediated phosphorylation of CREB,,,
M1_string_534,R-HSA-167826,Metabolism,Aerobic respiration and respiratory electron transport,Mitochondrial Uncoupling,The fatty acid cycling model,,,,,
M1_string_539,R-HSA-389397,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Orexin and neuropeptides FF and QRFP bind to their respective receptors,,,
M1_string_544,R-HSA-72163,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Major Pathway,,,,,
M1_string_545,R-HSA-975957,Metabolism of RNA,Nonsense-Mediated Decay (NMD),Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,,,,,
M1_string_547,R-HSA-380108,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Chemokine receptors bind chemokines,,,
M1_string_548,R-HSA-380108,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Chemokine receptors bind chemokines,,,
M1_string_551,R-HSA-75205,Hemostasis,Dissolution of Fibrin Clot,,,,,,,
M1_string_560,R-HSA-901032,Metabolism of proteins,Post-translational protein modification,Asparagine N-linked glycosylation,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,Calnexin/calreticulin cycle,ER Quality Control Compartment (ERQC),,,
M1_string_564,R-HSA-2151201,Organelle biogenesis and maintenance,Mitochondrial biogenesis,Transcriptional activation of mitochondrial biogenesis,,,,,,
M1_string_568,R-HSA-199920,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-17 signaling,MAP kinase activation,MAPK targets/ Nuclear events mediated by MAP kinases,CREB phosphorylation,,
M1_string_571,R-HSA-6811440,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Retrograde transport at the Trans-Golgi-Network,,,,,
M1_string_577,R-HSA-8876198,Vesicle-mediated transport,Membrane Trafficking,Rab regulation of trafficking,RAB GEFs exchange GTP for GDP on RABs,,,,,
M1_string_582,R-HSA-375276,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,,,,
M1_string_590,R-HSA-187706,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by NTRKs,Signaling by NTRK1 (TRKA),Signalling to ERKs,Signalling to p38 via RIT and RIN,,,
M1_string_599,R-HSA-5334118,Gene expression (Transcription),Epigenetic regulation of gene expression,DNA methylation,,,,,,
M1_string_600,R-HSA-5684264,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-17 signaling,MAP kinase activation,MAP3K8 (TPL2)-dependent MAPK1/3 activation,,,
M1_string_605,R-HSA-210993,Hemostasis,Cell surface interactions at the vascular wall,Tie2 Signaling,,,,,,
M1_string_610,R-HSA-388479,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Vasopressin-like receptors,,,
M1_string_629,R-HSA-420499,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class C/3 (Metabotropic glutamate/pheromone receptors),,,,,
M1_string_630,R-HSA-375276,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,,,,
M1_string_631,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
M1_string_635,R-HSA-2892245,Developmental Biology,Transcriptional regulation of pluripotent stem cells,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",,,,,,
M1_string_636,R-HSA-110362,DNA Repair,Base Excision Repair,Resolution of Abasic Sites (AP sites),Resolution of AP sites via the multiple-nucleotide patch replacement pathway,POLB-Dependent Long Patch Base Excision Repair,,,,
M1_string_637,R-HSA-4615885,Metabolism of proteins,Post-translational protein modification,SUMOylation,SUMO E3 ligases SUMOylate target proteins,SUMOylation of DNA replication proteins,,,,
M1_string_638,R-HSA-212300,Gene expression (Transcription),Epigenetic regulation of gene expression,PRC2 methylates histones and DNA,,,,,,
M1_string_639,R-HSA-429958,Metabolism of RNA,Deadenylation-dependent mRNA decay,mRNA decay by 3' to 5' exoribonuclease,,,,,,
M1_string_642,R-HSA-6814122,Metabolism of proteins,Protein folding,Chaperonin-mediated protein folding,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,,,,,
M1_string_646,R-HSA-8956321,Metabolism,Metabolism of nucleotides,Nucleotide salvage,,,,,,
M1_string_649,R-HSA-9673221,Disease,Diseases of hemostasis,Defects of contact activation system (CAS) and kallikrein/kinin system (KKS),Defective factor IX causes hemophilia B,Defective F9 activation,,,,
M1_string_663,R-HSA-373080,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class B/2 (Secretin family receptors),,,,,
M1_string_668,R-HSA-442380,Transport of small molecules,SLC-mediated transmembrane transport,"Transport of bile salts and organic acids, metal ions and amine compounds",Metal ion SLC transporters,Zinc transporters,Zinc influx into cells by the SLC39 gene family,,,
M1_string_680,R-HSA-2559584,Cellular responses to stimuli,Cellular responses to stress,Cellular Senescence,DNA Damage/Telomere Stress Induced Senescence,Formation of Senescence-Associated Heterochromatin Foci (SAHF),,,,
M1_string_681,R-HSA-140342,Programmed Cell Death,Apoptosis,Apoptotic execution phase,Apoptosis induced DNA fragmentation,,,,,
M1_string_690,R-HSA-72163,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Major Pathway,,,,,
M1_string_694,R-HSA-5694530,Metabolism of proteins,Post-translational protein modification,Asparagine N-linked glycosylation,Transport to the Golgi and subsequent modification,ER to Golgi Anterograde Transport,Cargo concentration in the ER,,,
M1_string_700,R-HSA-3000170,Extracellular matrix organization,Non-integrin membrane-ECM interactions,Syndecan interactions,,,,,,
M1_string_702,R-HSA-2672351,Transport of small molecules,Ion channel transport,Stimuli-sensing channels,,,,,,
M1_string_712,R-HSA-9758890,Metabolism,Metabolism of vitamins and cofactors,Metabolism of water-soluble vitamins and cofactors,"Cobalamin (Cbl, vitamin B12) transport and metabolism",Transport of RCbl within the body,,,,
M1_string_714,R-HSA-419408,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Lysosphingolipid and LPA receptors,,,,
M1_string_728,R-HSA-2142700,Metabolism,Metabolism of lipids,Biosynthesis of specialized proresolving mediators (SPMs),Biosynthesis of Lipoxins (LX),,,,,
M1_string_730,R-HSA-391906,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Eicosanoid ligand-binding receptors,Leukotriene receptors,,,
M1_string_732,R-HSA-5621480,Immune System,Innate Immune System,C-type lectin receptors (CLRs),Dectin-2 family,,,,,
M1_string_738,R-HSA-3214842,Chromatin organization,Chromatin modifying enzymes,HDMs demethylate histones,,,,,,
M1_string_741,R-HSA-381183,Cellular responses to stimuli,Cellular responses to stress,Unfolded Protein Response (UPR),ATF6 (ATF6-alpha) activates chaperones,ATF6 (ATF6-alpha) activates chaperone genes,,,,
M1_string_742,R-HSA-2173795,Signal Transduction,Signaling by TGFB family members,Signaling by TGF-beta Receptor Complex,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,Downregulation of SMAD2/3:SMAD4 transcriptional activity,,,,
M1_string_745,R-HSA-379716,Metabolism of proteins,Translation,tRNA Aminoacylation,Cytosolic tRNA aminoacylation,,,,,
M1_string_748,R-HSA-9703465,Disease,Diseases of signal transduction by growth factor receptors and second messengers,FLT3 signaling in disease,Signaling by FLT3 fusion proteins,,,,,
M1_string_749,R-HSA-373753,Cell-Cell communication,Nephrin family interactions,,,,,,,
M1_string_758,R-HSA-72163,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing,mRNA Splicing - Major Pathway,,,,,
M1_string_759,R-HSA-77588,Metabolism of RNA,Processing of Capped Intronless Pre-mRNA,SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs,,,,,,
M1_string_762,R-HSA-420092,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class B/2 (Secretin family receptors),Glucagon-type ligand receptors,,,,
M1_string_767,R-HSA-6781823,DNA Repair,Nucleotide Excision Repair,Transcription-Coupled Nucleotide Excision Repair (TC-NER),Formation of TC-NER Pre-Incision Complex,,,,,
M1_string_769,R-HSA-201556,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by ALK,,,,,,
M1_string_771,R-HSA-2243919,Extracellular matrix organization,Collagen formation,Assembly of collagen fibrils and other multimeric structures,Crosslinking of collagen fibrils,,,,,
R1_cpdb_1,R-HSA-1663150,Metabolism of proteins,Post-translational protein modification,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",The activation of arylsulfatases,,,,,
R1_cpdb_2,R-HSA-1296065,Neuronal System,Potassium Channels,Inwardly rectifying K+ channels,,,,,,
R1_cpdb_3,R-HSA-3371599,Disease,Diseases of metabolism,Defects in vitamin and cofactor metabolism,Defects in biotin (Btn) metabolism,Defective HLCS causes multiple carboxylase deficiency,,,,
R1_cpdb_4,R-HSA-5696395,DNA Repair,Nucleotide Excision Repair,Global Genome Nucleotide Excision Repair (GG-NER),Formation of Incision Complex in GG-NER,,,,,
R1_cpdb_5,R-HSA-75953,Gene expression (Transcription),RNA Polymerase II Transcription,RNA Polymerase II Transcription Initiation And Promoter Clearance,RNA Polymerase II Transcription Initiation,,,,,
R1_cpdb_7,R-HSA-3238698,Signal Transduction,Signaling by WNT,WNT ligand biogenesis and trafficking,,,,,,
R1_cpdb_8,R-HSA-181429,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter release cycle,Serotonin Neurotransmitter Release Cycle,,,,,
R1_cpdb_9,R-HSA-9006335,Signal Transduction,Signaling by Erythropoietin,,,,,,,
R1_cpdb_10,R-HSA-9013409,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,RHOJ GTPase cycle,,,,
R1_cpdb_11,R-HSA-6783589,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-6 family signaling,,,,,
R1_cpdb_12,R-HSA-392170,Hemostasis,"Platelet activation, signaling and aggregation",Signal amplification,ADP signalling through P2Y purinoceptor 12,,,,,
